zip,median_income,housing_units,owner_pct,population,city,lat,lon,solrad_annual,solrad_source,install_count,median_system_kw,median_cost_per_watt,pct_third_party,latest_install_year,adoption_rate,electricity_rate,nem_type,nem_export_pct
91330,0,14,0.0,2699,Northridge,33.7866,-118.2987,6.189449615403071,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91331,76942,23926,0.6058262977514002,99804,Pacoima,34.2556,-118.4208,6.215521510634644,ridge_interpolated,1200,4.5,5.0,0.5708333333333333,2019.0,50.1546,0.3029,NEM3,0.2
91335,74632,25512,0.46777986829727186,77158,Reseda,34.2007,-118.5391,6.188969598133185,ridge_interpolated,841,5.035,5.0,0.5315101070154578,2019.0,32.9649,0.3029,NEM3,0.2
91340,71664,9116,0.5908293111013603,34822,San Fernando,34.2875,-118.4352,6.215930615213046,ridge_interpolated,123,4.56,4.9,0.6260162601626016,2019.0,13.4928,0.3029,NEM3,0.2
91342,89264,26221,0.6378093894206933,92580,Sylmar,34.3054,-118.4322,6.218128663570126,ridge_interpolated,1121,4.845,4.9,0.47546833184656556,2019.0,42.752,0.3029,NEM3,0.2
91343,77790,18681,0.47856110486590653,63193,North Hills,34.2366,-118.4758,6.2038426716892525,ridge_interpolated,753,5.635,4.975,0.5630810092961488,2019.0,40.3083,0.3029,NEM3,0.2
91344,111897,18383,0.6941739650764293,53862,Granada Hills,34.2771,-118.4992,6.203478912620851,ridge_interpolated,1229,6.48,4.9,0.4979658258746949,2020.0,66.8552,0.3029,NEM3,0.2
91345,93622,5607,0.7244515783841626,18481,Mission Hills,34.2619,-118.4587,6.209317099985786,ridge_interpolated,246,5.06,5.1,0.5813008130081301,2019.0,43.8737,0.3029,NEM3,0.2
91350,137626,13495,0.8,42970,Santa Clarita,34.4336,-118.5007,6.217476938346414,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91351,104214,10514,0.7272208483926194,32677,Canyon Country,34.4262,-118.449,6.226026007000544,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
